OID_,GEOID,INTPTLAT,INTPTLON,NAME_1,COALIT,COUNT,SUM_SQ_FT
3805,410510028023021,+45.5316274,-122.6036158,ROSE CITY PARK,CNN,23.000000000000000,23978.000000000000000
3806,410510087001019,+45.4698741,-122.5908122,BRENTWOOD-DARLINGTON,SEUL,28.000000000000000,39446.000000000000000
3807,410510003022019,+45.4754976,-122.6211337,WOODSTOCK,SEUL,23.000000000000000,23256.000000000000000
3808,410510037023014,+45.5658061,-122.6704409,HUMBOLDT,NECN,12.000000000000000,16231.000000000000000
3809,410510070002088,+45.5324769,-122.7634522,NORTHWEST HEIGHTS,NWNW,14.000000000000000,34404.000000000000000
3810,410510014001007,+45.5171640,-122.6207898,SUNNYSIDE,SEUL,16.000000000000000,54111.000000000000000
3811,410510041024015,+45.5923429,-122.7397919,ST. JOHNS,NPNS,30.000000000000000,28221.000000000000000
3812,410510009013013,+45.4982005,-122.6367392,HOSFORD-ABERNETHY,SEUL,20.000000000000000,30552.000000000000000
3813,410510041013032,+45.5972190,-122.7465024,ST. JOHNS,NPNS,24.000000000000000,28928.000000000000000
3814,410510016013011,+45.5082817,-122.5844953,MONTAVILLA,SEUL,14.000000000000000,18222.000000000000000
3815,410510046012033,+45.5209930,-122.7059708,ARLINGTON HEIGHTS,NWNW,14.000000000000000,25621.000000000000000
3816,410510013012008,+45.5139490,-122.6237006,SUNNYSIDE,SEUL,16.000000000000000,21719.000000000000000
3817,410510012013006,+45.5139757,-122.6480871,BUCKMAN,SEUL,12.000000000000000,14843.000000000000000
3818,410510020004007,+45.5225042,-122.6382683,BUCKMAN,SEUL,12.000000000000000,60790.000000000000000
3819,410510002001023,+45.4825138,-122.6479183,SELLWOOD-MORELAND IMPROVEMENT LEAGUE,SEUL,4.000000000000000,4963.000000000000000
3820,410510041011018,+45.6014340,-122.7429615,ST. JOHNS,NPNS,93.000000000000000,555768.000000000000000
3821,410510047003002,+45.5270021,-122.7010079,NORTHWEST DISTRICT,NWNW,8.000000000000000,39922.000000000000000
3822,410510035014014,+45.5607856,-122.6775055,HUMBOLDT,NECN,1.000000000000000,21614.000000000000000
3823,410510016013009,+45.5087585,-122.5876115,MT. TABOR,SEUL,14.000000000000000,15056.000000000000000
3824,410510029021012,+45.5488919,-122.5832998,ROSEWAY,CNN,25.000000000000000,30909.000000000000000
3825,410510017011021,+45.5332027,-122.5805089,MONTAVILLA,SEUL,3.000000000000000,19300.000000000000000
3826,410510013011016,+45.5160879,-122.6251356,SUNNYSIDE,SEUL,15.000000000000000,28372.000000000000000
3827,410510016011005,+45.5185772,-122.5823621,MONTAVILLA,SEUL,2.000000000000000,10280.000000000000000
3828,410510075002011,+45.5532662,-122.6035737,CULLY,CNN,20.000000000000000,49600.000000000000000
3829,410510088001012,+45.4637151,-122.5929610,BRENTWOOD-DARLINGTON,SEUL,10.000000000000000,13392.000000000000000
3830,410510017015015,+45.5236312,-122.5903732,MONTAVILLA,SEUL,23.000000000000000,22396.000000000000000
3831,410510028023009,+45.5326290,-122.6094505,ROSE CITY PARK,CNN,17.000000000000000,17003.000000000000000
3832,410510029022010,+45.5454807,-122.5884460,ROSEWAY,CNN,38.000000000000000,41814.000000000000000
3833,410510028012032,+45.5408669,-122.6090329,ROSE CITY PARK,CNN,11.000000000000000,52444.000000000000000
3834,410510011021071,+45.5083050,-122.6582480,HOSFORD-ABERNETHY,SEUL,5.000000000000000,25754.000000000000000
3835,410510046011023,+45.5262346,-122.7138555,HILLSIDE,NWNW,2.000000000000000,8709.000000000000000
3836,410510011011135,+45.5125870,-122.6592340,BUCKMAN,SEUL,4.000000000000000,38903.000000000000000
3837,410510028021017,+45.5371245,-122.6041469,ROSE CITY PARK,CNN,25.000000000000000,24202.000000000000000
3838,410510046012018,+45.5220440,-122.7104773,ARLINGTON HEIGHTS,NWNW,11.000000000000000,13077.000000000000000
3839,410510029012025,+45.5492757,-122.5874022,ROSEWAY,CNN,2.000000000000000,14850.000000000000000
3840,410510041011017,+45.5988461,-122.7314152,ST. JOHNS,NPNS,3.000000000000000,33754.000000000000000
3841,410510033022004,+45.5550190,-122.6600485,KING,NECN,20.000000000000000,17733.000000000000000
3842,410510042001001,+45.5963428,-122.7581228,ST. JOHNS,NPNS,17.000000000000000,24586.000000000000000
3843,410510015001016,+45.5099817,-122.6022495,MT. TABOR,SEUL,82.000000000000000,87434.000000000000000
3844,410510088001005,+45.4657496,-122.5957016,BRENTWOOD-DARLINGTON,SEUL,56.000000000000000,62886.000000000000000
3845,410510070004006,+45.5414883,-122.7772337,NORTHWEST HEIGHTS,NWNW,13.000000000000000,32557.000000000000000
3846,410510088001020,+45.4619054,-122.5950521,BRENTWOOD-DARLINGTON,SEUL,12.000000000000000,13917.000000000000000
3847,410510037022014,+45.5645200,-122.6677070,HUMBOLDT,NECN,14.000000000000000,15181.000000000000000
3848,410510028012010,+45.5430503,-122.6071551,ROSE CITY PARK,CNN,23.000000000000000,33017.000000000000000
3849,410510012014027,+45.5153793,-122.6413270,BUCKMAN,SEUL,20.000000000000000,41027.000000000000000
3850,410510029013014,+45.5475481,-122.5978550,ROSE CITY PARK,CNN,30.000000000000000,28090.000000000000000
3851,410510021001129,+45.5204342,-122.6602164,BUCKMAN,SEUL,4.000000000000000,22433.000000000000000
3852,410510070002086,+45.5318746,-122.7587198,NORTHWEST HEIGHTS,NWNW,53.000000000000000,167935.000000000000000
3853,410510004023011,+45.4796175,-122.6080286,WOODSTOCK,SEUL,3.000000000000000,35993.000000000000000
3854,410510010003058,+45.5031210,-122.6471513,HOSFORD-ABERNETHY,SEUL,12.000000000000000,17187.000000000000000
3855,410510028022008,+45.5358139,-122.6073718,ROSE CITY PARK,CNN,34.000000000000000,30978.000000000000000
3856,410510028023022,+45.5316270,-122.6026681,ROSE CITY PARK,CNN,23.000000000000000,24944.000000000000000
3857,410510050001111,+45.5260643,-122.6878083,NORTHWEST DISTRICT,NWNW,4.000000000000000,21713.000000000000000
3858,410510017017020,+45.5321837,-122.5892805,MONTAVILLA,SEUL,23.000000000000000,26513.000000000000000
3859,410510011011105,+45.5161509,-122.6592097,BUCKMAN,SEUL,4.000000000000000,40226.000000000000000
3860,410510018012022,+45.5235730,-122.6038079,NORTH TABOR,SEUL,22.000000000000000,30270.000000000000000
3861,410510011011001,+45.5189913,-122.6551539,BUCKMAN,SEUL,3.000000000000000,31062.000000000000000
3862,410510033022013,+45.5526767,-122.6571381,KING,NECN,24.000000000000000,24257.000000000000000
3863,410510015003012,+45.5135479,-122.6099243,MT. TABOR,SEUL,26.000000000000000,40681.000000000000000
3864,410510015002011,+45.5060126,-122.6065508,MT. TABOR,SEUL,22.000000000000000,31536.000000000000000
3865,410510086002032,+45.4616739,-122.5864762,BRENTWOOD-DARLINGTON,SEUL,1.000000000000000,1346.000000000000000
3866,410510017022018,+45.5245410,-122.5717711,MONTAVILLA,SEUL,13.000000000000000,13618.000000000000000
3867,410510028012018,+45.5410961,-122.6030520,ROSE CITY PARK,CNN,44.000000000000000,65603.000000000000000
3868,410510034012005,+45.5584996,-122.6674648,HUMBOLDT,NECN,20.000000000000000,24133.000000000000000
3869,410510001007014,+45.4661072,-122.6539896,SELLWOOD-MORELAND IMPROVEMENT LEAGUE,SEUL,28.000000000000000,35407.000000000000000
3870,410510041023006,+45.5877963,-122.7465308,ST. JOHNS,NPNS,18.000000000000000,19492.000000000000000
3871,410510029022014,+45.5454636,-122.5843845,ROSEWAY,CNN,38.000000000000000,38739.000000000000000
3872,410510041013034,+45.5962795,-122.7492002,ST. JOHNS,NPNS,23.000000000000000,26345.000000000000000
3873,410510034013009,+45.5552947,-122.6685106,HUMBOLDT,NECN,19.000000000000000,18622.000000000000000
3874,410510014002008,+45.5136772,-122.6132835,SUNNYSIDE,SEUL,63.000000000000000,85373.000000000000000
3875,410510042002055,+45.5894187,-122.7535852,ST. JOHNS,NPNS,6.000000000000000,27735.000000000000000
3876,410510086002017,+45.4623612,-122.5818645,BRENTWOOD-DARLINGTON,SEUL,2.000000000000000,21579.000000000000000
3877,410510004014003,+45.4861777,-122.6180072,WOODSTOCK,SEUL,17.000000000000000,15555.000000000000000
3878,410510041024001,+45.5938945,-122.7400837,ST. JOHNS,NPNS,25.000000000000000,25821.000000000000000
3879,410510004013033,+45.4780798,-122.6149411,WOODSTOCK,SEUL,13.000000000000000,13800.000000000000000
3880,410510017014009,+45.5207207,-122.5841386,MONTAVILLA,SEUL,17.000000000000000,21941.000000000000000
3881,410510021002020,+45.5225392,-122.6530773,BUCKMAN,SEUL,1.000000000000000,33677.000000000000000
3882,410510003022035,+45.4722368,-122.6167282,WOODSTOCK,SEUL,15.000000000000000,18126.000000000000000
3883,410510028022006,+45.5358122,-122.6055842,ROSE CITY PARK,CNN,17.000000000000000,14410.000000000000000
3884,410510016013000,+45.5072598,-122.5803802,MONTAVILLA,SEUL,50.000000000000000,306267.000000000000000
3885,410510028012039,+45.5392707,-122.6010681,ROSE CITY PARK,CNN,16.000000000000000,18121.000000000000000
3886,410670301022033,+45.5319421,-122.7781845,NORTHWEST HEIGHTS,NWNW,92.000000000000000,233888.000000000000000
3887,410510028012031,+45.5410550,-122.6065150,ROSE CITY PARK,CNN,7.000000000000000,27400.000000000000000
3888,410510072021061,+45.6301492,-122.7684023,ST. JOHNS,NPNS,30.000000000000000,3564247.000000000000000
3889,410510034012000,+45.5583951,-122.6620462,KING,NECN,4.000000000000000,41145.000000000000000
3890,410510029024019,+45.5343019,-122.5971958,ROSE CITY PARK,CNN,23.000000000000000,20242.000000000000000
3891,410510011011012,+45.5190048,-122.6651212,BUCKMAN,SEUL,2.000000000000000,18107.000000000000000
3892,410510018022010,+45.5179173,-122.6149079,SUNNYSIDE,SEUL,24.000000000000000,33226.000000000000000
3893,410510039021015,+45.5708392,-122.6950320,ARBOR LODGE,NPNS,34.000000000000000,39851.000000000000000
3894,410510034013026,+45.5550439,-122.6725696,HUMBOLDT,NECN,8.000000000000000,9614.000000000000000
3895,410510086001011,+45.4740135,-122.5847570,BRENTWOOD-DARLINGTON,SEUL,25.000000000000000,20795.000000000000000
3896,410510075001010,+45.5599077,-122.5989513,CULLY,CNN,41.000000000000000,53290.000000000000000
3897,410510011011150,+45.5125825,-122.6623174,BUCKMAN,SEUL,3.000000000000000,35345.000000000000000
3898,410510016022017,+45.5094689,-122.5678138,MONTAVILLA,SEUL,36.000000000000000,47563.000000000000000
3899,410510043001113,+45.5427808,-122.7211495,NORTHWEST DISTRICT/NORTHWEST INDUSTRIAL,NWNW,8.000000000000000,39861.000000000000000
3900,410510037022009,+45.5657915,-122.6666235,HUMBOLDT,NECN,10.000000000000000,12510.000000000000000
3901,410510038011012,+45.5817162,-122.6771983,PIEDMONT,NPNS,24.000000000000000,24771.000000000000000
3902,410510014002026,+45.5124642,-122.6222038,SUNNYSIDE,SEUL,16.000000000000000,25150.000000000000000
3903,410050210002003,+45.4606679,-122.6111691,ARDENWALD-JOHNSON CREEK,SEUL,1.000000000000000,161.000000000000000
3904,410510041012004,+45.5992214,-122.7439277,ST. JOHNS,NPNS,15.000000000000000,22210.000000000000000
3905,410510017023012,+45.5219341,-122.5775312,MONTAVILLA,SEUL,30.000000000000000,32721.000000000000000
3906,410510017017021,+45.5309634,-122.5892857,MONTAVILLA,SEUL,25.000000000000000,28701.000000000000000
3907,410510004013002,+45.4823882,-122.6169509,WOODSTOCK,SEUL,12.000000000000000,11109.000000000000000
3908,410510029012007,+45.5531639,-122.5896878,ROSEWAY,CNN,24.000000000000000,29590.000000000000000
3909,410510010003009,+45.5045023,-122.6501846,HOSFORD-ABERNETHY,SEUL,8.000000000000000,14942.000000000000000
3910,410510013011002,+45.5189454,-122.6264620,SUNNYSIDE,SEUL,18.000000000000000,24340.000000000000000
3911,410510016021005,+45.5189144,-122.5739936,MONTAVILLA,SEUL,6.000000000000000,24962.000000000000000
3912,410510045001005,+45.5421386,-122.6938198,NORTHWEST DISTRICT/NORTHWEST INDUSTRIAL,NWNW,2.000000000000000,98559.000000000000000
3913,410510003022042,+45.4708440,-122.6184585,WOODSTOCK,SEUL,22.000000000000000,27217.000000000000000
3914,410510036014026,+45.5639408,-122.6556183,KING,NECN,24.000000000000000,26089.000000000000000
3915,410510004023025,+45.4766028,-122.6031875,WOODSTOCK,SEUL,14.000000000000000,17716.000000000000000
3916,410510011021093,+45.5075784,-122.6542143,HOSFORD-ABERNETHY,SEUL,15.000000000000000,17423.000000000000000
3917,410510001003009,+45.4661050,-122.6520005,SELLWOOD-MORELAND IMPROVEMENT LEAGUE,SEUL,20.000000000000000,41260.000000000000000
3918,410510001007022,+45.4653983,-122.6605321,SELLWOOD-MORELAND IMPROVEMENT LEAGUE,SEUL,8.000000000000000,15128.000000000000000
3919,410510014001019,+45.5146512,-122.6186254,SUNNYSIDE,SEUL,17.000000000000000,45256.000000000000000
3920,410510045001060,+45.5372151,-122.7019065,NORTHWEST DISTRICT/NORTHWEST INDUSTRIAL,NWNW,2.000000000000000,24978.000000000000000
3921,410510081003046,+45.5269260,-122.5664419,MONTAVILLA,SEUL,8.000000000000000,10759.000000000000000
3922,410510086002004,+45.4677480,-122.5870069,BRENTWOOD-DARLINGTON,SEUL,31.000000000000000,110818.000000000000000
3923,410510046011009,+45.5289337,-122.7044840,HILLSIDE/NORTHWEST DISTRICT,NWNW,18.000000000000000,35998.000000000000000
3924,410510038022009,+45.5744108,-122.6826632,ARBOR LODGE,NPNS,23.000000000000000,32056.000000000000000
3925,410510016021028,+45.5166358,-122.5667253,MONTAVILLA,SEUL,64.000000000000000,66375.000000000000000
3926,410510001006006,+45.4615854,-122.6629942,SELLWOOD-MORELAND IMPROVEMENT LEAGUE,SEUL,40.000000000000000,95440.000000000000000
3927,410510016011033,+45.5146583,-122.5842463,MONTAVILLA,SEUL,13.000000000000000,13259.000000000000000
3928,410510004013006,+45.4817008,-122.6195272,WOODSTOCK,SEUL,18.000000000000000,25682.000000000000000
3929,410510004013032,+45.4780820,-122.6159555,WOODSTOCK,SEUL,9.000000000000000,8991.000000000000000
3930,410510028021012,+45.5371395,-122.6093980,ROSE CITY PARK,CNN,30.000000000000000,31188.000000000000000
3931,410510004013057,+45.4766440,-122.6107305,WOODSTOCK,SEUL,11.000000000000000,16219.000000000000000
3932,410510012014011,+45.5175411,-122.6480627,BUCKMAN,SEUL,7.000000000000000,15184.000000000000000
3933,410510027012018,+45.5430256,-122.6132202,ROSE CITY PARK,CNN,31.000000000000000,34184.000000000000000
3934,410510004022023,+45.4824420,-122.6050411,WOODSTOCK,SEUL,10.000000000000000,11352.000000000000000
3935,410510020004006,+45.5225055,-122.6403575,BUCKMAN,SEUL,18.000000000000000,49424.000000000000000
3936,410510050001045,+45.5331894,-122.6880868,NORTHWEST DISTRICT,NWNW,1.000000000000000,21633.000000000000000
3937,410510027013018,+45.5398053,-122.6134554,ROSE CITY PARK,CNN,29.000000000000000,37313.000000000000000
3938,410510028011027,+45.5445395,-122.6050879,ROSE CITY PARK,CNN,40.000000000000000,42759.000000000000000
3939,410510069001000,+45.5196250,-122.7211943,ARLINGTON HEIGHTS/SYLVAN-HIGHLANDS,NWNW,1.000000000000000,2093.000000000000000
3940,410510018013036,+45.5239265,-122.6059000,NORTH TABOR,SEUL,11.000000000000000,12600.000000000000000
3941,410510045001024,+45.5404553,-122.6995026,NORTHWEST DISTRICT,NWNW,2.000000000000000,2662.000000000000000
3942,410510016024008,+45.5129447,-122.5746061,MONTAVILLA,SEUL,24.000000000000000,29100.000000000000000
3943,410510050001073,+45.5310546,-122.6880049,NORTHWEST DISTRICT,NWNW,7.000000000000000,32688.000000000000000
3944,410510070004037,+45.5354405,-122.7708951,NORTHWEST HEIGHTS,NWNW,11.000000000000000,31676.000000000000000
3945,410510016015008,+45.5172248,-122.5871381,MT. TABOR,SEUL,17.000000000000000,26349.000000000000000
3946,410510043001113,+45.5427808,-122.7211495,NORTHWEST DISTRICT,NWNW,3.000000000000000,2612.000000000000000
3947,410510041022004,+45.5868108,-122.7394643,ST. JOHNS,NPNS,13.000000000000000,19106.000000000000000
3948,410510045001114,+45.5364721,-122.7038722,NORTHWEST DISTRICT,NWNW,19.000000000000000,55813.000000000000000
3949,410510050001053,+45.5324813,-122.6880572,NORTHWEST DISTRICT,NWNW,2.000000000000000,35331.000000000000000
3950,410510011021055,+45.5077151,-122.6508119,HOSFORD-ABERNETHY,SEUL,24.000000000000000,26764.000000000000000
3951,410510004014006,+45.4851878,-122.6200525,WOODSTOCK,SEUL,12.000000000000000,18511.000000000000000
3952,410510029014030,+45.5515841,-122.6005597,ROSEWAY,CNN,15.000000000000000,17696.000000000000000
3953,410510041024004,+45.5945764,-122.7429745,ST. JOHNS,NPNS,22.000000000000000,23698.000000000000000
3954,410510001002016,+45.4702548,-122.6557919,SELLWOOD-MORELAND IMPROVEMENT LEAGUE,SEUL,11.000000000000000,16087.000000000000000
3955,410510034014009,+45.5600858,-122.6739758,HUMBOLDT,NECN,24.000000000000000,28983.000000000000000
3956,410510033012010,+45.5582089,-122.6580442,KING,NECN,39.000000000000000,41362.000000000000000
3957,410510045001042,+45.5397425,-122.7215092,NORTHWEST DISTRICT,NWNW,14.000000000000000,24934.000000000000000
3958,410510037014006,+45.5823894,-122.6727824,PIEDMONT,NPNS,3.000000000000000,28868.000000000000000
3959,410510088003022,+45.4649138,-122.6105212,BRENTWOOD-DARLINGTON,SEUL,17.000000000000000,18473.000000000000000
